timestamp,Active Addresses,Sending Addresses,Receiving Addresses,Addresses with Non-zero Balance,Over 0.01,Over 0.1,Over 1,Over 10,Over 100,Over 1000,Over 10000,New Addresses,Exchange Balance,Exchange Net Position Change,Exchange Inflow Volume,Exchange Outflow Volume,Exchange Withdrawals,In-House Exchange Volume,Inter-Exchange Transfers,Inter-Exchange Volume,Fees Total,Fees Mean,Free Ratio Multiple,Miner Revenue Fees,Thermocap,Market Cap to Thermocap Ratio,Purpouse Bitcoin ETF Holdings,Bitcoin Fund Holdings,3iq Holdings,Coin Days Destroyed,ASOL,MSOL,Suply Last Active 1+ Years Ago,Suply Last Active 2+ Years Ago,Suply Last Active 3+ Years Ago,Suply Last Active 5+ Years Ago,MVRV,NVT,SOPR,NUPL,Block Height,Blocks Mined,Block Interval Mean,Block Size Mean,Issuance,Inflation Rate,Difficulty,Hash Rate,Transaction Count,Transaction Size,Transfer Volume Total,Transfer Volume Mean,UTXO Total,Market Cap,Tweets Volume,Tweets Sentiment,Price
2021-07-01T00:00:00Z,831216,447747,617630,38315044,9069738,3175727,795230,146434,16037,2142,87,396699,2716205.36,1223.797481,26417.74261,30867.27583,56465,285826.8551,6332,7495.376257,73.77631405,0.000315841,9.132691471,0.109496746,27147477608,1.24E-06,22190.0958,12979.1914,20364.1095,5761042.794,18.11720794,1.145671296,0.542214196,0.45163409,0.352641292,0.220847746,1.730516934,35.75453457,0.993037883,0.421968422,689352,96,932.4375,1392400.802,600,0.011750838,8.56E+22,9.18E+19,233587,133630688,1670669.553,7.152236866,123956018,6.29E+11,110.93,64.4,33568.58643
2021-07-02T00:00:00Z,809796,461373,532440,38326388,9094260,3178602,795860,146465,16042,2152,84,335353,2713488.619,1088.873551,27645.9832,30351.47163,52074,247933.748,5719,8747.507256,61.9630791,0.000328755,10.07798657,0.099226169,27166216782,1.25E-06,22299.8938,12977.9514,20362.3871,8271538.131,19.7445874,1.79849537,0.542314057,0.452096851,0.352755795,0.220880491,1.754217354,32.30812154,0.982630758,0.429778333,689442,90,968.5444444,1403917.178,562.5,0.01101206,8.56E+22,8.84E+19,188478,126315953,1732185.033,9.190383139,124028045,6.36E+11,101.93,62.8,33933.60148
2021-07-03T00:00:00Z,1022345,682676,583126,38176718,9055241,3174919,796501,146674,16052,2150,84,376065,2713215.088,-1496.658764,14996.85009,15259.68114,38077,137430.4366,4585,4421.900511,59.20251271,0.000249446,14.40737012,0.06940892,27193450279,1.28E-06,22299.8938,12977.9514,20362.3871,2318229.202,23.12675459,2.269375,0.542364233,0.452219727,0.352860822,0.220957123,1.792224544,46.04006411,1.001079245,0.441871261,689569,127,685.480315,1420467.622,793.75,0.015573578,6.17E+22,9.74E+19,237336,180348173,1295536.209,5.458658648,123854155,6.50E+11,92.92,61.5,34674.53247
2021-07-04T00:00:00Z,850487,585363,467439,38031898,9029130,3169551,796328,146660,16044,2150,84,288257,2713822.105,-3264.219015,13388.03291,12771.74049,33577,186977.2231,4119,5045.218831,43.43064993,0.000252893,17.54937242,0.056982095,27218792902,1.30E-06,22299.8938,12977.9514,20362.3871,3307446.177,32.17136174,3.929074074,0.542280886,0.452259047,0.35289819,0.221000164,1.823182165,39.18840557,1.001934808,0.451348216,689684,115,744.6869565,1441163.609,718.75,0.014091226,6.17E+22,8.28E+19,171735,165686799,1586242.527,9.236571037,123604165,6.62E+11,138.77,68.3,35285.09657
2021-07-05T00:00:00Z,920363,637375,547741,37899026,9014679,3164882,796100,146617,16060,2149,84,350351,2714301.35,-9154.415581,22736.74962,22248.37569,47200,183718.681,5195,6636.523922,47.54560696,0.00021261,18.35176082,0.054490684,27246931243,1.24E-06,22303.6158,12977.9514,20362.3871,4740070.287,32.82354608,3.113831019,0.542255692,0.45237957,0.352847277,0.221046656,1.747997036,55.63220317,0.997969805,0.427749476,689816,132,659.5378788,1327586.447,825,0.016190291,6.17E+22,9.35E+19,223628,175187435,1439888.312,6.438765773,123437937,6.34E+11,184.62,56.6,33821.80912
2021-07-06T00:00:00Z,838259,533184,579817,37904912,9013312,3166727,796602,146669,16082,2147,84,373963,2710828.347,-8825.990466,23141.71469,26605.46841,46651,147934.3148,5413,7605.914464,47.07445328,0.000206343,19.85311327,0.050369934,27277253193,1.25E-06,22411.2018,12977.9514,20362.3871,3811212.093,105.906412,2.926226852,0.542400474,0.452474917,0.352843743,0.221088485,1.765649919,48.94059133,0.998673247,0.43347055,689958,142,607.6760563,1097025.444,887.5,0.017426596,6.17E+22,1.02E+20,228137,155718945,1332011.055,5.838645443,123413578,6.40E+11,95.43,61.6,34158.92122
2021-07-07T00:00:00Z,812872,505775,568370,37925347,9016723,3167324,796893,146686,16082,2148,84,363403,2703503.598,-14403.62232,26110.67511,33429.28982,49714,203492.2748,5798,9510.460438,37.84812683,0.000171178,21.31144113,0.046923152,27303819836,1.24E-06,22367.5338,12977.9514,20333.2767,6464920.165,34.37688241,1.388344907,0.542217158,0.452508875,0.352807429,0.221115385,1.749380844,44.91152798,1.001324352,0.428201862,690081,123,702.902439,1173740.122,768.75,0.01507681,6.17E+22,8.78E+19,221104,144319889,1324879.895,5.992111835,123441544,6.35E+11,102.07,69.9,33850.91409
2021-07-08T00:00:00Z,800764,499175,580432,37953737,9028010,3169410,797170,146754,16094,2149,84,375468,2700892.55,-11072.80098,34275.48598,36880.58932,50150,212845.6455,5904,12325.49536,29.27798416,0.000126975,30.67246636,0.03260253,27332406960,1.20E-06,22473.3218,12977.9514,20122.0785,3793290.556,32.58401996,0.865115741,0.542933342,0.452736078,0.352800874,0.221273321,1.699320414,43.84041311,0.996298745,0.411357398,690220,139,613.7266187,1030018.576,868.75,0.017053813,6.17E+22,1.01E+20,230580,143114506,3250504.781,14.09708032,123519646,6.16E+11,108.7,64.1,32847.39679
2021-07-09T00:00:00Z,841432,551594,569411,37934261,9023489,3169881,797352,146825,16095,2149,84,368012,2703736.372,-4663.543523,30112.1415,27263.06145,45076,150634.8476,5245,9117.877913,26.87704907,0.000118203,31.46279366,0.031783573,27359560354,1.24E-06,22469.3118,12949.0569,20122.0785,6076679.027,31.10512083,1.843715278,0.543001355,0.452672942,0.352746038,0.221333353,1.75244674,52.94360049,1.000269812,0.429202408,690351,131,666.9541985,1259713.985,818.75,0.016063773,6.17E+22,9.25E+19,227380,164969744,3424756.426,15.0618191,123502710,6.35E+11,96.85,68.7,33878.23686
2021-07-10T00:00:00Z,699110,424543,486049,37957732,9012276,3170060,797747,146791,16091,2147,84,310351,2703089.519,-15209.64541,13324.90992,13967.57879,35451,137874.8702,4277,5243.355568,19.19544869,0.000102593,53.42128049,0.018719132,27393475774,1.22E-06,22469.3118,12949.0569,20122.0785,2081623.418,29.32750302,2.022881944,0.543089271,0.453075916,0.352852985,0.221359791,1.733894547,56.52479591,0.999472169,0.42309502,690512,161,538.2546584,840594.5528,1006.25,0.019777492,6.17E+22,1.15E+20,187102,135269770,1854015.144,9.909114516,123530931,6.29E+11,85,66.8,33517.87334
